Time Stamp,Round2-NonSol-K322_x,Round2-NonSol-K322_y,Round2-NonSol-K322_z
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234008,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234009,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234010,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234011,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234012,-0.404,-10.56291,-0.634
20240313_234013,-0.404,-10.56291,-0.634
20240313_234013,-0.404,-10.56291,-0.634
20240313_234013,-0.404,-10.56291,-0.634
20240313_234013,-0.404,-10.56291,-0.634
