Time Stamp,Round2-NonSol-L778_x,Round2-NonSol-L778_y,Round2-NonSol-L778_z
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234008,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234009,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234010,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234011,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
20240313_234012,-1.934,-10.3672,0.226
