Time Stamp,Round2-NonSol-H881_x,Round2-NonSol-H881_y,Round2-NonSol-H881_z
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234008,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234009,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234010,0.1059999,-10.47498,-0.634
20240313_234011,0.1059999,-10.47498,-0.634
20240313_234011,0.1059999,-10.47498,-0.634
20240313_234011,0.1059999,-10.47498,-0.634
20240313_234011,0.1059999,-10.47498,-0.634
