Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-3.080597,-9.502142,0.04240321,-3.379397,-9.658454,0.01330066,-1.217411,-11.01,0.007724524,0.1059999,-10.38865,-0.204,-2.444,-9.966648,-1.064,-2.444,-9.747585,-0.634,
-3.072108,-9.502747,0.04405366,-3.358252,-9.658027,0.01071143,-1.217411,-11.01,0.007724524,0.1059999,-10.39747,-0.204,-2.444,-9.974862,-1.064,-2.444,-9.738016,-0.634,
-3.063887,-9.504934,0.0467708,-3.345433,-9.658933,0.01154172,-1.217411,-11.01,0.007724524,0.1059999,-10.39652,-0.204,-2.444,-9.973747,-1.064,-2.444,-9.737658,-0.634,
-3.05697,-9.507442,0.04902719,-3.334235,-9.661464,0.0137049,-1.217411,-11.01,0.007724524,0.1059999,-10.39583,-0.204,-2.444,-9.972972,-1.064,-2.444,-9.737586,-0.634,
-3.044709,-9.51329,0.05349897,-3.322615,-9.666164,0.02097714,-1.217411,-11.01,0.007724524,0.1059999,-10.39479,-0.204,-2.444,-9.971832,-1.064,-2.444,-9.737662,-0.634,
-3.035364,-9.520996,0.05751799,-3.314396,-9.671996,0.03556991,-1.217411,-11.01,0.007724524,0.1059999,-10.39363,-0.204,-2.444,-9.970592,-1.064,-2.444,-9.737931,-0.634,
-3.025514,-9.532702,0.06099056,-3.308626,-9.68075,0.05686343,-1.217411,-11.01,0.007724524,0.1059999,-10.39238,-0.204,-2.444,-9.969275,-1.064,-2.444,-9.738389,-0.634,
-3.013795,-9.54425,0.06358717,-3.30109,-9.692644,0.08119833,-1.217411,-11.01,0.007724524,0.1059999,-10.39139,-0.204,-2.444,-9.968252,-1.064,-2.444,-9.73885,-0.634,
-3.002692,-9.548461,0.06351183,-3.290208,-9.705563,0.1016566,-1.217411,-11.01,0.007724524,0.1059999,-10.39002,-0.204,-2.444,-9.966863,-1.064,-2.444,-9.739612,-0.634,
-2.994505,-9.550186,0.06281899,-3.281032,-9.717196,0.1186923,-1.217411,-11.01,0.007724524,0.1059999,-10.38863,-0.204,-2.444,-9.965469,-1.064,-2.444,-9.740529,-0.634,
-2.985784,-9.547888,0.06295536,-3.273366,-9.725358,0.1334404,-1.217411,-11.01,0.007724524,0.1059999,-10.38724,-0.204,-2.444,-9.964098,-1.064,-2.444,-9.741584,-0.634,
-2.981328,-9.545,0.0646541,-3.265893,-9.730249,0.1462804,-1.217411,-11.01,0.007724524,0.1059999,-10.38621,-0.204,-2.444,-9.963101,-1.064,-2.444,-9.742454,-0.634,
-2.977747,-9.541605,0.06604455,-3.257302,-9.732644,0.1591417,-1.217411,-11.01,0.007724524,0.1059999,-10.38521,-0.204,-2.444,-9.962144,-1.064,-2.444,-9.743379,-0.634,
-2.974289,-9.538117,0.06576012,-3.246603,-9.733148,0.1725127,-1.217411,-11.01,0.007724524,0.1059999,-10.38425,-0.204,-2.444,-9.961235,-1.064,-2.444,-9.744349,-0.634,
-2.97089,-9.535801,0.06409048,-3.235904,-9.734458,0.184806,-1.217411,-11.01,0.007724524,0.1059999,-10.38304,-0.204,-2.444,-9.960117,-1.064,-2.444,-9.745698,-0.634,
-2.968361,-9.536672,0.06344973,-3.226351,-9.736411,0.1945728,-1.217411,-11.01,0.007724524,0.1059999,-10.38248,-0.204,-2.444,-9.959605,-1.064,-2.444,-9.746387,-0.634,
-2.963582,-9.540042,0.06424545,-3.214396,-9.739323,0.2057215,-1.217411,-11.01,0.007724524,0.1059999,-10.38194,-0.204,-2.444,-9.959127,-1.064,-2.444,-9.747083,-0.634,
-2.960048,-9.542798,0.06479929,-3.200792,-9.742603,0.2176591,-1.217411,-11.01,0.007724524,0.1059999,-10.3812,-0.204,-2.444,-9.95848,-1.064,-2.444,-9.74813,-0.634,
