Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-2.521111,-9.522479,0.2165739,-2.29932,-10.09988,-0.08325541,-1.217411,-11.01,0.007724524,-0.404,-10.5485,0.656,-1.424,-10.07468,-0.634,0.1059999,-10.25098,0.656,
-2.521715,-9.522483,0.2157783,-2.299098,-10.09769,-0.08520949,-1.217411,-11.01,0.007724524,-0.404,-10.54897,0.656,-1.424,-10.07597,-0.634,0.1059999,-10.25069,0.656,
-1.676319,-9.483786,-0.606781,-1.458827,-10.06142,-0.9085118,-0.3719382,-10.97,-0.8143406,-0.404,-10.54896,0.656,-1.424,-10.07787,-0.634,0.1059999,-10.24983,0.656,
-1.675277,-9.485678,-0.6070299,-1.470181,-10.07195,-0.9087511,-0.3719382,-10.97,-0.8143406,-0.404,-10.54837,0.656,-1.424,-10.08008,-0.634,0.1059999,-10.24844,0.656,
-1.674254,-9.485909,-0.6072949,-1.483253,-10.0815,-0.9085659,-0.3719382,-10.97,-0.8143406,-0.404,-10.54702,0.656,-1.424,-10.08282,-0.634,0.1059999,-10.24631,0.656,
-1.672577,-9.485887,-0.607409,-1.497347,-10.09278,-0.9070016,-0.3719382,-10.97,-0.8143406,-0.404,-10.54532,0.656,-1.424,-10.08525,-0.634,0.1059999,-10.2441,0.656,
-1.670979,-9.485816,-0.6062213,-1.515405,-10.10458,-0.9066995,-0.3719382,-10.97,-0.8143406,-0.404,-10.54356,0.656,-1.424,-10.08724,-0.634,0.1059999,-10.24206,0.656,
-1.671089,-9.488141,-0.6056906,-1.529269,-10.11174,-0.9056742,-0.3719382,-10.97,-0.8143406,-0.404,-10.54194,0.656,-1.424,-10.08876,-0.634,0.1059999,-10.24032,0.656,
-1.671929,-9.491457,-0.6042446,-1.543298,-10.11692,-0.9019579,-0.3719382,-10.97,-0.8143406,-0.404,-10.53989,0.656,-1.424,-10.09036,-0.634,0.1059999,-10.23826,0.656,
-1.672241,-9.495473,-0.6015551,-1.552818,-10.11626,-0.8976301,-0.3719382,-10.97,-0.8143406,-0.404,-10.53815,0.656,-1.424,-10.09145,-0.634,0.1059999,-10.23663,0.656,
