Time StampE(Clone)_x,E(Clone)_y,E(Clone)_z
20240313_230808,-0.404,-10.30383,-1.064
20240313_230808,-0.404,-10.30345,-1.064
20240313_230808,-0.404,-10.30312,-1.064
20240313_230808,-0.404,-10.30283,-1.064
20240313_230808,-0.404,-10.30259,-1.064
20240313_230808,-0.404,-10.30225,-1.064
20240313_230808,-0.404,-10.30215,-1.064
20240313_230809,-0.404,-10.30208,-1.064
20240313_230809,-0.404,-10.3021,-1.064
20240313_230809,-0.404,-10.30223,-1.064
20240313_230809,-0.404,-10.30256,-1.064
20240313_230809,-0.404,-10.30293,-1.064
20240313_230809,-0.404,-10.30323,-1.064
20240313_230809,-0.404,-10.30357,-1.064
20240313_230809,-0.404,-10.30396,-1.064
20240313_230809,-0.404,-10.30439,-1.064
20240313_230809,-0.404,-10.30535,-1.064
20240313_230809,-0.404,-10.30588,-1.064
20240313_230809,-0.404,-10.30674,-1.064
20240313_230809,-0.404,-10.30734,-1.064
20240313_230809,-0.404,-10.30797,-1.064
20240313_230809,-0.404,-10.30894,-1.064
20240313_230809,-0.404,-10.30995,-1.064
20240313_230809,-0.404,-10.31098,-1.064
20240313_230809,-0.404,-10.31168,-1.064
20240313_230809,-0.404,-10.31238,-1.064
20240313_230809,-0.404,-10.31342,-1.064
20240313_230809,-0.404,-10.31445,-1.064
20240313_230809,-0.404,-10.31545,-1.064
20240313_230809,-0.404,-10.31642,-1.064
20240313_230809,-0.404,-10.31704,-1.064
20240313_230809,-0.404,-10.31763,-1.064
20240313_230809,-0.404,-10.3182,-1.064
20240313_230809,-0.404,-10.31899,-1.064
20240313_230809,-0.404,-10.31993,-1.064
20240313_230809,-0.404,-10.32034,-1.064
20240313_230809,-0.404,-10.32072,-1.064
20240313_230809,-0.404,-10.3212,-1.064
20240313_230809,-0.404,-10.32146,-1.064
20240313_230809,-0.404,-10.32168,-1.064
20240313_230809,-0.404,-10.32198,-1.064
20240313_230809,-0.404,-10.32208,-1.064
20240313_230810,-0.404,-10.32206,-1.064
20240313_230810,-0.404,-10.32199,-1.064
20240313_230810,-0.404,-10.3218,-1.064
20240313_230810,-0.404,-10.32138,-1.064
20240313_230810,-0.404,-10.32094,-1.064
20240313_230810,-0.404,-10.32041,-1.064
20240313_230810,-0.404,-10.31955,-1.064
20240313_230810,-0.404,-10.31855,-1.064
20240313_230810,-0.404,-10.31801,-1.064
20240313_230810,-0.404,-10.31713,-1.064
20240313_230810,-0.404,-10.31588,-1.064
20240313_230810,-0.404,-10.31456,-1.064
20240313_230810,-0.404,-10.31284,-1.064
20240313_230810,-0.404,-10.31144,-1.064
20240313_230810,-0.404,-10.3104,-1.064
20240313_230810,-0.404,-10.30972,-1.064
20240313_230810,-0.404,-10.30905,-1.064
