Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-3.996824,-10.18489,-0.4348261,-4.19411,-10.26106,-0.4733311,-4.134963,-10.25265,-0.3114887
-3.99688,-10.18492,-0.4346735,-4.194098,-10.2611,-0.4732643,-4.134956,-10.25268,-0.3114425
-3.996939,-10.18493,-0.4348056,-4.194174,-10.26102,-0.4734851,-4.135113,-10.25281,-0.3115216
-3.996887,-10.1849,-0.434705,-4.194135,-10.26107,-0.4732577,-4.134968,-10.25268,-0.3114415
-3.996898,-10.18486,-0.4346344,-4.194127,-10.26111,-0.4731814,-4.134999,-10.25285,-0.3110834
-3.996907,-10.18484,-0.4345794,-4.194118,-10.26105,-0.473188,-4.134958,-10.25271,-0.3112828
-3.996923,-10.1848,-0.4345696,-4.19416,-10.26106,-0.4731969,-4.13504,-10.25269,-0.3112563
-3.996908,-10.18489,-0.4345324,-4.19416,-10.2611,-0.4732507,-4.134998,-10.25272,-0.3112844
-3.996954,-10.18486,-0.4344926,-4.194168,-10.26109,-0.4732276,-4.135078,-10.25282,-0.3110183
-3.996944,-10.18484,-0.4344883,-4.194232,-10.26097,-0.4733082,-4.135082,-10.25257,-0.3113314
-3.996929,-10.18486,-0.4344671,-4.194218,-10.2609,-0.4733959,-4.135058,-10.2526,-0.3113786
-3.996898,-10.18487,-0.4345968,-4.194252,-10.26089,-0.473333,-4.134957,-10.25269,-0.3115026
-3.996808,-10.18484,-0.4347162,-4.194179,-10.26098,-0.4734172,-4.13493,-10.25269,-0.3115174
-3.99683,-10.18484,-0.4348373,-4.194109,-10.26109,-0.4734775,-4.134827,-10.2527,-0.3117448
-3.996821,-10.18491,-0.4347563,-4.19408,-10.26103,-0.4734575,-4.134851,-10.25263,-0.3116955
-3.996801,-10.18488,-0.4347975,-4.19407,-10.26108,-0.4735404,-4.134873,-10.25255,-0.3118373
-3.996823,-10.18493,-0.4347365,-4.194071,-10.26106,-0.4735113,-4.134849,-10.25253,-0.3118759
-3.996863,-10.18499,-0.4348919,-4.194158,-10.26104,-0.4737183,-4.135013,-10.25259,-0.3120133
-3.996942,-10.185,-0.4347947,-4.194278,-10.26101,-0.4736944,-4.135154,-10.25252,-0.3120281
-3.996893,-10.18496,-0.434705,-4.194153,-10.26099,-0.4734989,-4.135028,-10.25234,-0.3119885
-3.996945,-10.18498,-0.4345784,-4.194156,-10.26095,-0.4734782,-4.135024,-10.25225,-0.3120009
-3.996898,-10.18495,-0.434427,-4.194151,-10.26081,-0.4735211,-4.135035,-10.25222,-0.3120476
-3.996936,-10.18492,-0.4345162,-4.194234,-10.26075,-0.4737006,-4.13512,-10.2523,-0.312153
-3.996935,-10.18495,-0.4347177,-4.194213,-10.2609,-0.4738041,-4.135056,-10.25239,-0.3123637
-3.996843,-10.18496,-0.4348722,-4.194226,-10.26093,-0.4738518,-4.134857,-10.25231,-0.3123213
-3.996802,-10.18493,-0.4348662,-4.194033,-10.26099,-0.4737245,-4.134831,-10.25229,-0.3123809
-3.996763,-10.18489,-0.4350066,-4.193973,-10.26104,-0.473802,-4.134758,-10.25226,-0.3124605
-3.996728,-10.18488,-0.4350221,-4.194009,-10.26107,-0.4737304,-4.134798,-10.25226,-0.3124019
-3.996823,-10.18497,-0.4348249,-4.19399,-10.26107,-0.4737431,-4.134774,-10.25223,-0.3124377
-3.996844,-10.185,-0.4348543,-4.194122,-10.2609,-0.4737507,-4.134959,-10.2522,-0.3123451
-3.996899,-10.185,-0.4346874,-4.194195,-10.26076,-0.4736916,-4.135121,-10.25215,-0.3122607
-3.996963,-10.18508,-0.4347639,-4.194273,-10.26086,-0.4739405,-4.13525,-10.25226,-0.3124062
-3.996947,-10.18511,-0.4348261,-4.194121,-10.26108,-0.473837,-4.135036,-10.25238,-0.3123299
-3.99693,-10.18513,-0.4348133,-4.19414,-10.26109,-0.4738775,-4.13504,-10.25236,-0.3123566
-3.996919,-10.18516,-0.4346044,-4.194184,-10.2609,-0.4736775,-4.135067,-10.25217,-0.3121866
-3.996807,-10.18517,-0.4345305,-4.194065,-10.26102,-0.4736172,-4.134924,-10.25224,-0.3121473
-3.996787,-10.18519,-0.4345827,-4.194077,-10.26102,-0.4736296,-4.13483,-10.25246,-0.3118368
-3.996828,-10.18523,-0.4345703,-4.194087,-10.26122,-0.4736444,-4.134844,-10.25241,-0.3121921
-3.99684,-10.18533,-0.4343953,-4.194094,-10.26112,-0.4735507,-4.134847,-10.25241,-0.312111
-3.996839,-10.18531,-0.4344189,-4.194097,-10.26109,-0.4735132,-4.134932,-10.25244,-0.3120781
