Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,E_x,E_y,E_z,R_x,R_y,R_z,
-4.040947,-10.1945,-0.4061935,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40751,0.226,-0.404,-10.32256,0.226,0.1059999,-9.502394,-0.204,
-4.040946,-10.1944,-0.4063871,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40822,0.226,-0.404,-10.32344,0.226,0.1059999,-9.502254,-0.204,
-4.040959,-10.19458,-0.4060736,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40865,0.226,-0.404,-10.32405,0.226,0.1059999,-9.50222,-0.204,
-4.040986,-10.19462,-0.4060967,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40903,0.226,-0.404,-10.32469,0.226,0.1059999,-9.502236,-0.204,
-4.040981,-10.1944,-0.4064438,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40954,0.226,-0.404,-10.32567,0.226,0.1059999,-9.502351,-0.204,
-4.040915,-10.19426,-0.4066899,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40981,0.226,-0.404,-10.32635,0.226,0.1059999,-9.502487,-0.204,
-4.040978,-10.1945,-0.406265,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41005,0.226,-0.404,-10.32704,0.226,0.1059999,-9.502672,-0.204,
-4.040979,-10.19418,-0.4065773,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41024,0.226,-0.404,-10.32773,0.226,0.1059999,-9.502902,-0.204,
-4.041052,-10.1942,-0.4067209,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41038,0.226,-0.404,-10.32843,0.226,0.1059999,-9.503179,-0.204,
-4.04107,-10.1944,-0.4063828,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41047,0.226,-0.404,-10.32913,0.226,0.1059999,-9.503499,-0.204,
-4.041092,-10.19415,-0.4067523,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41051,0.226,-0.404,-10.32982,0.226,0.1059999,-9.503861,-0.204,
-4.041044,-10.1941,-0.4067223,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41051,0.226,-0.404,-10.33051,0.226,0.1059999,-9.504265,-0.204,
-4.040997,-10.19433,-0.4063933,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41045,0.226,-0.404,-10.33119,0.226,0.1059999,-9.504706,-0.204,
-4.040962,-10.19402,-0.4066596,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41035,0.226,-0.404,-10.33185,0.226,0.1059999,-9.505185,-0.204,
-4.040977,-10.19389,-0.4067013,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.4102,0.226,-0.404,-10.3325,0.226,0.1059999,-9.505698,-0.204,
-4.040957,-10.19413,-0.4063842,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.41,0.226,-0.404,-10.33313,0.226,0.1059999,-9.506243,-0.204,
-4.040948,-10.19385,-0.4068208,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40976,0.226,-0.404,-10.33374,0.226,0.1059999,-9.506817,-0.204,
-4.040896,-10.19379,-0.4070358,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40947,0.226,-0.404,-10.33432,0.226,0.1059999,-9.507417,-0.204,
-4.040859,-10.19372,-0.4073205,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40896,0.226,-0.404,-10.33514,0.226,0.1059999,-9.50836,-0.204,
-4.040846,-10.19371,-0.4073203,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40876,0.226,-0.404,-10.33539,0.226,0.1059999,-9.508684,-0.204,
-4.040874,-10.19377,-0.4072406,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40835,0.226,-0.404,-10.33588,0.226,0.1059999,-9.509346,-0.204,
-4.040867,-10.19377,-0.4072273,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.4079,0.226,-0.404,-10.33633,0.226,0.1059999,-9.510021,-0.204,
-4.040854,-10.19375,-0.4072244,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40741,0.226,-0.404,-10.33675,0.226,0.1059999,-9.510707,-0.204,
-4.041001,-10.19387,-0.4073126,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40661,0.226,-0.404,-10.33729,0.226,0.1059999,-9.511748,-0.204,
-4.041055,-10.19378,-0.4072187,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40605,0.226,-0.404,-10.3376,0.226,0.1059999,-9.512446,-0.204,
-4.04108,-10.19371,-0.4071405,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40545,0.226,-0.404,-10.33787,0.226,0.1059999,-9.513143,-0.204,
-4.04107,-10.19369,-0.4071386,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40483,0.226,-0.404,-10.33809,0.226,0.1059999,-9.513835,-0.204,
-4.041038,-10.19358,-0.4071643,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40419,0.226,-0.404,-10.33826,0.226,0.1059999,-9.51452,-0.204,
-4.041051,-10.19349,-0.4074705,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40354,0.226,-0.404,-10.33839,0.226,0.1059999,-9.515193,-0.204,
-4.041041,-10.19348,-0.4074676,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40286,0.226,-0.404,-10.33846,0.226,0.1059999,-9.515852,-0.204,
-4.041056,-10.19353,-0.4073608,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40218,0.226,-0.404,-10.33849,0.226,0.1059999,-9.516493,-0.204,
-4.041083,-10.1935,-0.407346,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40149,0.226,-0.404,-10.33847,0.226,0.1059999,-9.517113,-0.204,
-4.041075,-10.19348,-0.4074035,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40114,0.226,-0.404,-10.33844,0.226,0.1059999,-9.517414,-0.204,
-4.041117,-10.19348,-0.4075913,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.40044,0.226,-0.404,-10.33835,0.226,0.1059999,-9.517998,-0.204,
-4.041102,-10.19345,-0.4076257,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39974,0.226,-0.404,-10.33821,0.226,0.1059999,-9.518553,-0.204,
-4.041036,-10.1934,-0.4076457,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39905,0.226,-0.404,-10.33802,0.226,0.1059999,-9.519077,-0.204,
-4.040962,-10.19331,-0.4077818,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39802,0.226,-0.404,-10.33766,0.226,0.1059999,-9.519801,-0.204,
-4.040947,-10.19327,-0.4078248,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39736,0.226,-0.404,-10.33735,0.226,0.1059999,-9.520237,-0.204,
-4.040965,-10.19328,-0.407819,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39703,0.226,-0.404,-10.33719,0.226,0.1059999,-9.520441,-0.204,
-4.040961,-10.19327,-0.4077983,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39638,0.226,-0.404,-10.33682,0.226,0.1059999,-9.520818,-0.204,
-4.040934,-10.19322,-0.4078221,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39576,0.226,-0.404,-10.33641,0.226,0.1059999,-9.521153,-0.204,
-4.040923,-10.19322,-0.4077861,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39515,0.226,-0.404,-10.33597,0.226,0.1059999,-9.521444,-0.204,
-4.040961,-10.19328,-0.4079034,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-2.444,-10.39458,0.226,-0.404,-10.33549,0.226,0.1059999,-9.521691,-0.204,
