Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.468188,-10.36862,0.06150268,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35166,-1.064,-1.934,-10.17048,0.226,-1.424,-9.777939,-1.064,
-4.467495,-10.36848,0.06145523,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35205,-1.064,-1.934,-10.17059,0.226,-1.424,-9.778621,-1.064,
-4.467323,-10.36859,0.06166242,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3524,-1.064,-1.934,-10.17066,0.226,-1.424,-9.779291,-1.064,
-4.467841,-10.36869,0.06152652,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35271,-1.064,-1.934,-10.17067,0.226,-1.424,-9.779945,-1.064,
-4.467995,-10.36861,0.06185125,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35298,-1.064,-1.934,-10.17064,0.226,-1.424,-9.780581,-1.064,
-4.468711,-10.3688,0.06186436,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3532,-1.064,-1.934,-10.17056,0.226,-1.424,-9.781196,-1.064,
-4.469052,-10.36876,0.06209801,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35337,-1.064,-1.934,-10.17043,0.226,-1.424,-9.781785,-1.064,
-4.469229,-10.36869,0.0619695,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35355,-1.064,-1.934,-10.17014,0.226,-1.424,-9.782618,-1.064,
-4.469234,-10.3687,0.06183003,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3536,-1.064,-1.934,-10.1699,0.226,-1.424,-9.783134,-1.064,
-4.468615,-10.36854,0.06197952,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35361,-1.064,-1.934,-10.16976,0.226,-1.424,-9.783379,-1.064,
-4.468414,-10.36857,0.06205593,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35356,-1.064,-1.934,-10.16927,0.226,-1.424,-9.784061,-1.064,
-4.468425,-10.3686,0.06201147,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35347,-1.064,-1.934,-10.16889,0.226,-1.424,-9.784468,-1.064,
-4.468269,-10.36858,0.06189547,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35333,-1.064,-1.934,-10.16848,0.226,-1.424,-9.784834,-1.064,
-4.469229,-10.36876,0.06148051,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35303,-1.064,-1.934,-10.16778,0.226,-1.424,-9.785304,-1.064,
-4.469528,-10.36874,0.06158398,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35277,-1.064,-1.934,-10.16727,0.226,-1.424,-9.785562,-1.064,
-4.469856,-10.36852,0.06186937,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35247,-1.064,-1.934,-10.16673,0.226,-1.424,-9.785773,-1.064,
-4.469975,-10.3685,0.06183551,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35213,-1.064,-1.934,-10.16616,0.226,-1.424,-9.785938,-1.064,
-4.469172,-10.36834,0.06208967,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35174,-1.064,-1.934,-10.16557,0.226,-1.424,-9.786056,-1.064,
-4.468581,-10.36832,0.06221746,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35131,-1.064,-1.934,-10.16494,0.226,-1.424,-9.786124,-1.064,
-4.468511,-10.36833,0.06211005,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35085,-1.064,-1.934,-10.1643,0.226,-1.424,-9.786145,-1.064,
-4.468457,-10.36842,0.06170641,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35035,-1.064,-1.934,-10.16364,0.226,-1.424,-9.786117,-1.064,
-4.467738,-10.36838,0.06182383,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34982,-1.064,-1.934,-10.16297,0.226,-1.424,-9.786039,-1.064,
-4.467879,-10.36841,0.0618044,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34926,-1.064,-1.934,-10.16229,0.226,-1.424,-9.785914,-1.064,
-4.467484,-10.36824,0.06233595,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34867,-1.064,-1.934,-10.16159,0.226,-1.424,-9.785741,-1.064,
-4.467499,-10.36818,0.06265186,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34805,-1.064,-1.934,-10.1609,0.226,-1.424,-9.785522,-1.064,
-4.467664,-10.36821,0.06278573,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34709,-1.064,-1.934,-10.15985,0.226,-1.424,-9.785107,-1.064,
-4.467244,-10.36825,0.06283532,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34643,-1.064,-1.934,-10.15916,0.226,-1.424,-9.784776,-1.064,
-4.467609,-10.36824,0.06275652,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34575,-1.064,-1.934,-10.15847,0.226,-1.424,-9.784403,-1.064,
-4.467568,-10.36824,0.06266628,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34541,-1.064,-1.934,-10.15813,0.226,-1.424,-9.784201,-1.064,
